"n","error","cell","rep","method","fdr","tpr","fpr05","n_rej"
40,"t3","null",3,"hc3",0,NA,0.03,0
40,"t3","null",3,"modhc3",0,NA,0.032,0
40,"t3","null",4,"ols",0,NA,0.042,0
40,"t3","null",4,"modt",0,NA,0.04,0
40,"t3","null",4,"hc3",0,NA,0.036,0
40,"t3","null",4,"modhc3",0,NA,0.036,0
40,"t3","null",5,"ols",0,NA,0.048,0
40,"t3","null",5,"modt",0,NA,0.048,0
40,"t3","null",5,"hc3",0,NA,0.034,0
40,"t3","null",5,"modhc3",0,NA,0.034,0
40,"t3","null",6,"ols",0,NA,0.07,0
40,"t3","null",6,"modt",0,NA,0.07,0
40,"t3","null",6,"hc3",0,NA,0.054,0
40,"t3","null",6,"modhc3",0,NA,0.052,0
40,"t3","null",7,"ols",0,NA,0.066,0
40,"t3","null",7,"modt",0,NA,0.06,0
40,"t3","null",7,"hc3",0,NA,0.056,0
40,"t3","null",7,"modhc3",0,NA,0.058,0
40,"t3","null",8,"ols",0,NA,0.052,0
40,"t3","null",8,"modt",0,NA,0.052,0
40,"t3","null",8,"hc3",0,NA,0.038,0
40,"t3","null",8,"modhc3",0,NA,0.04,0
40,"t3","null",9,"ols",0,NA,0.032,0
40,"t3","null",9,"modt",0,NA,0.032,0
40,"t3","null",9,"hc3",0,NA,0.028,0
40,"t3","null",9,"modhc3",0,NA,0.03,0
40,"t3","null",10,"ols",0,NA,0.046,0
40,"t3","null",10,"modt",0,NA,0.05,0
40,"t3","null",10,"hc3",0,NA,0.05,0
40,"t3","null",10,"modhc3",0,NA,0.05,0
40,"t3","null",11,"ols",0,NA,0.052,0
40,"t3","null",11,"modt",0,NA,0.054,0
40,"t3","null",11,"hc3",0,NA,0.046,0
40,"t3","null",11,"modhc3",0,NA,0.046,0
40,"t3","null",12,"ols",0,NA,0.052,0
40,"t3","null",12,"modt",0,NA,0.05,0
40,"t3","null",12,"hc3",0,NA,0.044,0
40,"t3","null",12,"modhc3",0,NA,0.042,0
40,"t3","null",13,"ols",0,NA,0.056,0
40,"t3","null",13,"modt",0,NA,0.058,0
