"n","error","cell","rep","method","fdr","tpr","fpr05","n_rej"
20,"skew","null",9,"ols",0,NA,0.036,0
20,"skew","null",9,"modt",0,NA,0.03,0
20,"skew","null",9,"hc3",0,NA,0.024,0
20,"skew","null",9,"modhc3",0,NA,0.02,0
20,"skew","null",10,"ols",0,NA,0.054,0
20,"skew","null",10,"modt",0,NA,0.054,0
20,"skew","null",10,"hc3",0,NA,0.048,0
20,"skew","null",10,"modhc3",0,NA,0.042,0
20,"skew","null",11,"ols",0,NA,0.06,0
20,"skew","null",11,"modt",0,NA,0.062,0
20,"skew","null",11,"hc3",0,NA,0.042,0
20,"skew","null",11,"modhc3",0,NA,0.042,0
20,"skew","null",12,"ols",0,NA,0.046,0
20,"skew","null",12,"modt",0,NA,0.044,0
20,"skew","null",12,"hc3",0,NA,0.032,0
20,"skew","null",12,"modhc3",0,NA,0.03,0
20,"skew","null",13,"ols",0,NA,0.064,0
20,"skew","null",13,"modt",0,NA,0.06,0
20,"skew","null",13,"hc3",0,NA,0.05,0
20,"skew","null",13,"modhc3",0,NA,0.052,0
20,"skew","null",14,"ols",0,NA,0.058,0
20,"skew","null",14,"modt",0,NA,0.056,0
20,"skew","null",14,"hc3",0,NA,0.034,0
20,"skew","null",14,"modhc3",0,NA,0.036,0
20,"skew","null",15,"ols",0,NA,0.048,0
20,"skew","null",15,"modt",0,NA,0.048,0
20,"skew","null",15,"hc3",0,NA,0.03,0
20,"skew","null",15,"modhc3",0,NA,0.028,0
20,"skew","null",16,"ols",0,NA,0.06,0
20,"skew","null",16,"modt",0,NA,0.066,0
20,"skew","null",16,"hc3",0,NA,0.036,0
20,"skew","null",16,"modhc3",0,NA,0.038,0
20,"skew","null",17,"ols",0,NA,0.044,0
20,"skew","null",17,"modt",0,NA,0.046,0
20,"skew","null",17,"hc3",0,NA,0.026,0
20,"skew","null",17,"modhc3",0,NA,0.028,0
20,"skew","null",18,"ols",0,NA,0.05,0
20,"skew","null",18,"modt",0,NA,0.054,0
20,"skew","null",18,"hc3",0,NA,0.048,0
20,"skew","null",18,"modhc3",0,NA,0.05,0
20,"skew","null",19,"ols",0,NA,0.046,0
20,"skew","null",19,"modt",0,NA,0.044,0
20,"skew","null",19,"hc3",0,NA,0.036,0
20,"skew","null",19,"modhc3",0,NA,0.034,0
20,"skew","null",20,"ols",0,NA,0.052,0
20,"skew","null",20,"modt",0,NA,0.05,0
20,"skew","null",20,"hc3",0,NA,0.046,0
20,"skew","null",20,"modhc3",0,NA,0.054,0
40,"skew","null",1,"ols",0,NA,0.044,0
40,"skew","null",1,"modt",0,NA,0.046,0
40,"skew","null",1,"hc3",0,NA,0.038,0
40,"skew","null",1,"modhc3",0,NA,0.038,0
40,"skew","null",2,"ols",0,NA,0.05,0
40,"skew","null",2,"modt",0,NA,0.048,0
40,"skew","null",2,"hc3",0,NA,0.044,0
40,"skew","null",2,"modhc3",0,NA,0.04,0
40,"skew","null",3,"ols",0,NA,0.05,0
40,"skew","null",3,"modt",0,NA,0.054,0
40,"skew","null",3,"hc3",0,NA,0.042,0
40,"skew","null",3,"modhc3",0,NA,0.048,0
40,"skew","null",4,"ols",0,NA,0.044,0
40,"skew","null",4,"modt",0,NA,0.046,0
40,"skew","null",4,"hc3",0,NA,0.042,0
40,"skew","null",4,"modhc3",0,NA,0.042,0
40,"skew","null",5,"ols",0,NA,0.054,0
40,"skew","null",5,"modt",0,NA,0.058,0
40,"skew","null",5,"hc3",0,NA,0.04,0
40,"skew","null",5,"modhc3",0,NA,0.038,0
40,"skew","null",6,"ols",0,NA,0.046,0
40,"skew","null",6,"modt",0,NA,0.048,0
40,"skew","null",6,"hc3",0,NA,0.046,0
40,"skew","null",6,"modhc3",0,NA,0.046,0
40,"skew","null",7,"ols",1,NA,0.056,1
40,"skew","null",7,"modt",1,NA,0.054,1
40,"skew","null",7,"hc3",1,NA,0.042,1
40,"skew","null",7,"modhc3",1,NA,0.042,1
40,"skew","null",8,"ols",0,NA,0.046,0
40,"skew","null",8,"modt",0,NA,0.05,0
40,"skew","null",8,"hc3",0,NA,0.038,0
40,"skew","null",8,"modhc3",0,NA,0.036,0
40,"skew","null",9,"ols",0,NA,0.05,0
40,"skew","null",9,"modt",0,NA,0.05,0
40,"skew","null",9,"hc3",0,NA,0.05,0
40,"skew","null",9,"modhc3",0,NA,0.05,0
40,"skew","null",10,"ols",0,NA,0.044,0
40,"skew","null",10,"modt",0,NA,0.048,0
40,"skew","null",10,"hc3",0,NA,0.046,0
40,"skew","null",10,"modhc3",0,NA,0.048,0
40,"skew","null",11,"ols",0,NA,0.034,0
40,"skew","null",11,"modt",0,NA,0.032,0
40,"skew","null",11,"hc3",0,NA,0.036,0
40,"skew","null",11,"modhc3",0,NA,0.032,0
40,"skew","null",12,"ols",0,NA,0.036,0
40,"skew","null",12,"modt",0,NA,0.04,0
40,"skew","null",12,"hc3",0,NA,0.032,0
40,"skew","null",12,"modhc3",0,NA,0.034,0
40,"skew","null",13,"ols",0,NA,0.042,0
40,"skew","null",13,"modt",0,NA,0.042,0
40,"skew","null",13,"hc3",0,NA,0.058,0
40,"skew","null",13,"modhc3",0,NA,0.058,0
40,"skew","null",14,"ols",0,NA,0.04,0
40,"skew","null",14,"modt",0,NA,0.036,0
40,"skew","null",14,"hc3",0,NA,0.04,0
40,"skew","null",14,"modhc3",0,NA,0.038,0
40,"skew","null",15,"ols",0,NA,0.05,0
40,"skew","null",15,"modt",0,NA,0.042,0
40,"skew","null",15,"hc3",0,NA,0.038,0
40,"skew","null",15,"modhc3",0,NA,0.036,0
40,"skew","null",16,"ols",0,NA,0.044,0
40,"skew","null",16,"modt",0,NA,0.042,0
40,"skew","null",16,"hc3",0,NA,0.038,0
40,"skew","null",16,"modhc3",0,NA,0.032,0
40,"skew","null",17,"ols",0,NA,0.05,0
40,"skew","null",17,"modt",0,NA,0.052,0
40,"skew","null",17,"hc3",0,NA,0.042,0
40,"skew","null",17,"modhc3",0,NA,0.036,0
40,"skew","null",18,"ols",0,NA,0.068,0
40,"skew","null",18,"modt",0,NA,0.07,0
40,"skew","null",18,"hc3",0,NA,0.054,0
40,"skew","null",18,"modhc3",0,NA,0.052,0
40,"skew","null",19,"ols",0,NA,0.064,0
40,"skew","null",19,"modt",0,NA,0.062,0
40,"skew","null",19,"hc3",0,NA,0.046,0
40,"skew","null",19,"modhc3",0,NA,0.046,0
40,"skew","null",20,"ols",0,NA,0.054,0
40,"skew","null",20,"modt",0,NA,0.05,0
40,"skew","null",20,"hc3",0,NA,0.042,0
40,"skew","null",20,"modhc3",0,NA,0.046,0
100,"skew","null",1,"ols",0,NA,0.052,0
100,"skew","null",1,"modt",0,NA,0.052,0
100,"skew","null",1,"hc3",0,NA,0.044,0
100,"skew","null",1,"modhc3",0,NA,0.042,0
100,"skew","null",2,"ols",0,NA,0.07,0
100,"skew","null",2,"modt",0,NA,0.068,0
100,"skew","null",2,"hc3",0,NA,0.062,0
100,"skew","null",2,"modhc3",0,NA,0.06,0
100,"skew","null",3,"ols",0,NA,0.052,0
100,"skew","null",3,"modt",0,NA,0.052,0
100,"skew","null",3,"hc3",0,NA,0.052,0
100,"skew","null",3,"modhc3",0,NA,0.058,0
100,"skew","null",4,"ols",0,NA,0.062,0
100,"skew","null",4,"modt",0,NA,0.06,0
100,"skew","null",4,"hc3",0,NA,0.05,0
100,"skew","null",4,"modhc3",0,NA,0.052,0
100,"skew","null",5,"ols",0,NA,0.056,0
100,"skew","null",5,"modt",0,NA,0.056,0
100,"skew","null",5,"hc3",0,NA,0.048,0
100,"skew","null",5,"modhc3",0,NA,0.046,0
100,"skew","null",6,"ols",0,NA,0.054,0
100,"skew","null",6,"modt",0,NA,0.054,0
100,"skew","null",6,"hc3",0,NA,0.046,0
100,"skew","null",6,"modhc3",0,NA,0.048,0
100,"skew","null",7,"ols",0,NA,0.042,0
100,"skew","null",7,"modt",0,NA,0.042,0
100,"skew","null",7,"hc3",0,NA,0.034,0
100,"skew","null",7,"modhc3",0,NA,0.034,0
100,"skew","null",8,"ols",0,NA,0.038,0
100,"skew","null",8,"modt",0,NA,0.038,0
100,"skew","null",8,"hc3",0,NA,0.036,0
100,"skew","null",8,"modhc3",0,NA,0.034,0
100,"skew","null",9,"ols",0,NA,0.038,0
100,"skew","null",9,"modt",0,NA,0.038,0
100,"skew","null",9,"hc3",0,NA,0.034,0
100,"skew","null",9,"modhc3",0,NA,0.036,0
100,"skew","null",10,"ols",0,NA,0.046,0
100,"skew","null",10,"modt",0,NA,0.046,0
100,"skew","null",10,"hc3",0,NA,0.04,0
100,"skew","null",10,"modhc3",0,NA,0.04,0
100,"skew","null",11,"ols",0,NA,0.05,0
100,"skew","null",11,"modt",0,NA,0.048,0
100,"skew","null",11,"hc3",0,NA,0.044,0
100,"skew","null",11,"modhc3",0,NA,0.04,0
100,"skew","null",12,"ols",1,NA,0.06,1
100,"skew","null",12,"modt",1,NA,0.06,1
100,"skew","null",12,"hc3",0,NA,0.054,0
100,"skew","null",12,"modhc3",0,NA,0.052,0
100,"skew","null",13,"ols",1,NA,0.068,1
100,"skew","null",13,"modt",1,NA,0.066,1
100,"skew","null",13,"hc3",0,NA,0.058,0
100,"skew","null",13,"modhc3",0,NA,0.058,0
100,"skew","null",14,"ols",0,NA,0.05,0
100,"skew","null",14,"modt",0,NA,0.05,0
100,"skew","null",14,"hc3",0,NA,0.048,0
100,"skew","null",14,"modhc3",0,NA,0.048,0
100,"skew","null",15,"ols",0,NA,0.046,0
100,"skew","null",15,"modt",0,NA,0.046,0
100,"skew","null",15,"hc3",0,NA,0.042,0
100,"skew","null",15,"modhc3",0,NA,0.04,0
100,"skew","null",16,"ols",0,NA,0.048,0
100,"skew","null",16,"modt",0,NA,0.048,0
100,"skew","null",16,"hc3",0,NA,0.068,0
100,"skew","null",16,"modhc3",0,NA,0.064,0
100,"skew","null",17,"ols",0,NA,0.042,0
100,"skew","null",17,"modt",0,NA,0.042,0
100,"skew","null",17,"hc3",0,NA,0.036,0
100,"skew","null",17,"modhc3",0,NA,0.036,0
100,"skew","null",18,"ols",0,NA,0.058,0
100,"skew","null",18,"modt",0,NA,0.058,0
100,"skew","null",18,"hc3",0,NA,0.054,0
100,"skew","null",18,"modhc3",0,NA,0.056,0
100,"skew","null",19,"ols",0,NA,0.064,0
100,"skew","null",19,"modt",0,NA,0.064,0
100,"skew","null",19,"hc3",0,NA,0.06,0
100,"skew","null",19,"modhc3",0,NA,0.062,0
100,"skew","null",20,"ols",0,NA,0.054,0
100,"skew","null",20,"modt",0,NA,0.056,0
100,"skew","null",20,"hc3",0,NA,0.05,0
100,"skew","null",20,"modhc3",0,NA,0.054,0
10,"hetero","null",2,"ols",1,NA,0.128,2
10,"hetero","null",2,"modt",0,NA,0.114,0
10,"hetero","null",2,"hc3",1,NA,0.08,1
10,"hetero","null",2,"modhc3",1,NA,0.078,2
10,"hetero","null",3,"ols",0,NA,0.114,0
10,"hetero","null",3,"modt",1,NA,0.126,1
10,"hetero","null",3,"hc3",1,NA,0.066,1
10,"hetero","null",3,"modhc3",0,NA,0.058,0
10,"hetero","null",4,"ols",1,NA,0.162,2
10,"hetero","null",4,"modt",1,NA,0.166,3
10,"hetero","null",4,"hc3",1,NA,0.1,7
10,"hetero","null",4,"modhc3",1,NA,0.102,10
10,"hetero","null",5,"ols",0,NA,0.092,0
10,"hetero","null",5,"modt",1,NA,0.098,2
10,"hetero","null",5,"hc3",1,NA,0.07,3
10,"hetero","null",5,"modhc3",1,NA,0.07,4
10,"hetero","null",7,"ols",0,NA,0.118,0
10,"hetero","null",7,"modt",0,NA,0.14,0
10,"hetero","null",7,"hc3",0,NA,0.074,0
10,"hetero","null",7,"modhc3",1,NA,0.074,2
10,"hetero","null",8,"ols",0,NA,0.154,0
10,"hetero","null",8,"modt",1,NA,0.154,3
10,"hetero","null",8,"hc3",1,NA,0.13,5
10,"hetero","null",8,"modhc3",1,NA,0.118,14
10,"hetero","null",9,"ols",0,NA,0.058,0
10,"hetero","null",9,"modt",0,NA,0.044,0
10,"hetero","null",9,"hc3",0,NA,0.042,0
10,"hetero","null",9,"modhc3",0,NA,0.036,0
10,"hetero","null",10,"ols",0,NA,0.038,0
10,"hetero","null",10,"modt",0,NA,0.048,0
10,"hetero","null",10,"hc3",0,NA,0.02,0
10,"hetero","null",10,"modhc3",0,NA,0.022,0
10,"hetero","null",11,"ols",1,NA,0.078,1
10,"hetero","null",11,"modt",0,NA,0.078,0
10,"hetero","null",11,"hc3",0,NA,0.04,0
10,"hetero","null",11,"modhc3",0,NA,0.028,0
10,"hetero","null",12,"ols",0,NA,0.044,0
10,"hetero","null",12,"modt",0,NA,0.054,0
10,"hetero","null",12,"hc3",0,NA,0.024,0
10,"hetero","null",12,"modhc3",0,NA,0.026,0
10,"hetero","null",13,"ols",0,NA,0.126,0
10,"hetero","null",13,"modt",1,NA,0.144,4
10,"hetero","null",13,"hc3",1,NA,0.092,3
10,"hetero","null",13,"modhc3",1,NA,0.094,4
10,"hetero","null",14,"ols",0,NA,0.088,0
10,"hetero","null",14,"modt",0,NA,0.084,0
10,"hetero","null",14,"hc3",0,NA,0.054,0
10,"hetero","null",14,"modhc3",0,NA,0.05,0
10,"hetero","null",15,"ols",0,NA,0.024,0
10,"hetero","null",15,"modt",0,NA,0.022,0
10,"hetero","null",15,"hc3",0,NA,0.036,0
10,"hetero","null",15,"modhc3",0,NA,0.044,0
10,"hetero","null",16,"ols",0,NA,0.082,0
10,"hetero","null",16,"modt",1,NA,0.088,1
10,"hetero","null",16,"hc3",0,NA,0.04,0
10,"hetero","null",16,"modhc3",0,NA,0.044,0
10,"hetero","null",17,"ols",0,NA,0.056,0
10,"hetero","null",17,"modt",0,NA,0.048,0
10,"hetero","null",17,"hc3",0,NA,0.048,0
10,"hetero","null",17,"modhc3",0,NA,0.038,0
10,"hetero","null",18,"ols",0,NA,0.11,0
10,"hetero","null",18,"modt",0,NA,0.106,0
10,"hetero","null",18,"hc3",0,NA,0.072,0
10,"hetero","null",18,"modhc3",0,NA,0.066,0
10,"hetero","null",19,"ols",0,NA,0.082,0
10,"hetero","null",19,"modt",0,NA,0.092,0
10,"hetero","null",19,"hc3",0,NA,0.044,0
10,"hetero","null",19,"modhc3",0,NA,0.04,0
20,"hetero","null",1,"ols",0,NA,0.11,0
20,"hetero","null",1,"modt",0,NA,0.11,0
20,"hetero","null",1,"hc3",1,NA,0.062,2
20,"hetero","null",1,"modhc3",1,NA,0.056,2
20,"hetero","null",2,"ols",0,NA,0.086,0
20,"hetero","null",2,"modt",0,NA,0.088,0
20,"hetero","null",2,"hc3",0,NA,0.034,0
20,"hetero","null",2,"modhc3",0,NA,0.036,0
20,"hetero","null",3,"ols",0,NA,0.074,0
20,"hetero","null",3,"modt",0,NA,0.076,0
20,"hetero","null",3,"hc3",1,NA,0.054,2
20,"hetero","null",3,"modhc3",1,NA,0.056,3
20,"hetero","null",4,"ols",1,NA,0.136,3
20,"hetero","null",4,"modt",1,NA,0.132,1
20,"hetero","null",4,"hc3",1,NA,0.064,1
20,"hetero","null",4,"modhc3",1,NA,0.058,2
20,"hetero","null",5,"ols",0,NA,0.088,0
20,"hetero","null",5,"modt",0,NA,0.082,0
20,"hetero","null",5,"hc3",0,NA,0.044,0
20,"hetero","null",5,"modhc3",0,NA,0.052,0
20,"hetero","null",6,"ols",1,NA,0.112,2
20,"hetero","null",6,"modt",1,NA,0.114,2
20,"hetero","null",6,"hc3",1,NA,0.054,1
20,"hetero","null",6,"modhc3",0,NA,0.052,0
20,"hetero","null",7,"ols",0,NA,0.06,0
20,"hetero","null",7,"modt",0,NA,0.06,0
20,"hetero","null",7,"hc3",0,NA,0.052,0
20,"hetero","null",7,"modhc3",0,NA,0.046,0
20,"hetero","null",8,"ols",0,NA,0.126,0
20,"hetero","null",8,"modt",0,NA,0.116,0
20,"hetero","null",8,"hc3",1,NA,0.068,1
20,"hetero","null",8,"modhc3",1,NA,0.066,2
20,"hetero","null",9,"ols",1,NA,0.118,3
20,"hetero","null",9,"modt",1,NA,0.126,2
20,"hetero","null",9,"hc3",1,NA,0.056,3
20,"hetero","null",9,"modhc3",1,NA,0.052,1
20,"hetero","null",10,"ols",0,NA,0.128,0
20,"hetero","null",10,"modt",0,NA,0.132,0
20,"hetero","null",10,"hc3",0,NA,0.068,0
20,"hetero","null",10,"modhc3",0,NA,0.058,0
20,"hetero","null",11,"ols",0,NA,0.096,0
20,"hetero","null",11,"modt",0,NA,0.098,0
20,"hetero","null",11,"hc3",0,NA,0.054,0
20,"hetero","null",11,"modhc3",1,NA,0.05,2
20,"hetero","null",12,"ols",0,NA,0.042,0
20,"hetero","null",12,"modt",0,NA,0.044,0
20,"hetero","null",12,"hc3",0,NA,0.044,0
20,"hetero","null",12,"modhc3",0,NA,0.046,0
20,"hetero","null",13,"ols",1,NA,0.094,1
20,"hetero","null",13,"modt",1,NA,0.098,1
20,"hetero","null",13,"hc3",0,NA,0.052,0
20,"hetero","null",13,"modhc3",0,NA,0.048,0
20,"hetero","null",14,"ols",0,NA,0.128,0
20,"hetero","null",14,"modt",0,NA,0.122,0
20,"hetero","null",14,"hc3",0,NA,0.056,0
20,"hetero","null",14,"modhc3",0,NA,0.054,0
20,"hetero","null",15,"ols",0,NA,0.096,0
20,"hetero","null",15,"modt",0,NA,0.11,0
20,"hetero","null",15,"hc3",0,NA,0.05,0
20,"hetero","null",15,"modhc3",0,NA,0.048,0
20,"hetero","null",16,"ols",1,NA,0.162,4
20,"hetero","null",16,"modt",1,NA,0.16,9
20,"hetero","null",16,"hc3",1,NA,0.082,2
20,"hetero","null",16,"modhc3",1,NA,0.076,2
20,"hetero","null",17,"ols",1,NA,0.06,1
20,"hetero","null",17,"modt",1,NA,0.062,1
20,"hetero","null",17,"hc3",1,NA,0.038,2
20,"hetero","null",17,"modhc3",1,NA,0.044,2
20,"hetero","null",18,"ols",1,NA,0.082,1
20,"hetero","null",18,"modt",1,NA,0.086,4
20,"hetero","null",18,"hc3",0,NA,0.056,0
20,"hetero","null",18,"modhc3",0,NA,0.048,0
20,"hetero","null",19,"ols",0,NA,0.1,0
20,"hetero","null",19,"modt",1,NA,0.1,2
20,"hetero","null",19,"hc3",0,NA,0.064,0
20,"hetero","null",19,"modhc3",0,NA,0.062,0
20,"hetero","null",20,"ols",0,NA,0.106,0
20,"hetero","null",20,"modt",0,NA,0.104,0
20,"hetero","null",20,"hc3",0,NA,0.06,0
20,"hetero","null",20,"modhc3",0,NA,0.056,0
40,"hetero","null",1,"ols",0,NA,0.05,0
40,"hetero","null",1,"modt",0,NA,0.056,0
40,"hetero","null",1,"hc3",0,NA,0.05,0
40,"hetero","null",1,"modhc3",0,NA,0.05,0
40,"hetero","null",2,"ols",1,NA,0.044,1
40,"hetero","null",2,"modt",0,NA,0.038,0
40,"hetero","null",2,"hc3",0,NA,0.034,0
40,"hetero","null",2,"modhc3",0,NA,0.036,0
40,"hetero","null",3,"ols",0,NA,0.064,0
40,"hetero","null",3,"modt",0,NA,0.064,0
40,"hetero","null",3,"hc3",0,NA,0.044,0
40,"hetero","null",3,"modhc3",0,NA,0.04,0
40,"hetero","null",4,"ols",0,NA,0.11,0
40,"hetero","null",4,"modt",0,NA,0.104,0
40,"hetero","null",4,"hc3",0,NA,0.064,0
40,"hetero","null",4,"modhc3",0,NA,0.066,0
40,"hetero","null",5,"ols",0,NA,0.128,0
40,"hetero","null",5,"modt",0,NA,0.134,0
40,"hetero","null",5,"hc3",0,NA,0.048,0
40,"hetero","null",5,"modhc3",0,NA,0.052,0
40,"hetero","null",6,"ols",1,NA,0.138,6
40,"hetero","null",6,"modt",1,NA,0.138,6
40,"hetero","null",6,"hc3",0,NA,0.064,0
40,"hetero","null",6,"modhc3",1,NA,0.064,1
40,"hetero","null",7,"ols",0,NA,0.124,0
40,"hetero","null",7,"modt",0,NA,0.118,0
40,"hetero","null",7,"hc3",0,NA,0.058,0
40,"hetero","null",7,"modhc3",0,NA,0.058,0
40,"hetero","null",8,"ols",1,NA,0.214,23
40,"hetero","null",8,"modt",1,NA,0.212,23
40,"hetero","null",8,"hc3",1,NA,0.126,24
40,"hetero","null",8,"modhc3",1,NA,0.126,25
40,"hetero","null",9,"ols",0,NA,0.068,0
40,"hetero","null",9,"modt",0,NA,0.064,0
40,"hetero","null",9,"hc3",0,NA,0.038,0
40,"hetero","null",9,"modhc3",0,NA,0.034,0
40,"hetero","null",10,"ols",0,NA,0.092,0
40,"hetero","null",10,"modt",0,NA,0.09,0
40,"hetero","null",10,"hc3",0,NA,0.056,0
40,"hetero","null",10,"modhc3",0,NA,0.048,0
40,"hetero","null",11,"ols",0,NA,0.11,0
40,"hetero","null",11,"modt",0,NA,0.106,0
40,"hetero","null",11,"hc3",0,NA,0.074,0
40,"hetero","null",11,"modhc3",0,NA,0.068,0
40,"hetero","null",12,"ols",0,NA,0.118,0
40,"hetero","null",12,"modt",0,NA,0.116,0
40,"hetero","null",12,"hc3",0,NA,0.072,0
40,"hetero","null",12,"modhc3",0,NA,0.07,0
40,"hetero","null",13,"ols",0,NA,0.078,0
40,"hetero","null",13,"modt",0,NA,0.082,0
40,"hetero","null",13,"hc3",0,NA,0.038,0
40,"hetero","null",13,"modhc3",0,NA,0.04,0
40,"hetero","null",14,"ols",1,NA,0.15,3
40,"hetero","null",14,"modt",1,NA,0.16,3
40,"hetero","null",14,"hc3",0,NA,0.062,0
40,"hetero","null",14,"modhc3",0,NA,0.068,0
40,"hetero","null",15,"ols",1,NA,0.092,1
40,"hetero","null",15,"modt",1,NA,0.092,1
40,"hetero","null",15,"hc3",0,NA,0.05,0
40,"hetero","null",15,"modhc3",0,NA,0.046,0
40,"hetero","null",16,"ols",0,NA,0.056,0
40,"hetero","null",16,"modt",0,NA,0.058,0
40,"hetero","null",16,"hc3",0,NA,0.046,0
40,"hetero","null",16,"modhc3",0,NA,0.04,0
40,"hetero","null",17,"ols",0,NA,0.048,0
40,"hetero","null",17,"modt",0,NA,0.05,0
40,"hetero","null",17,"hc3",0,NA,0.052,0
40,"hetero","null",17,"modhc3",0,NA,0.046,0
40,"hetero","null",18,"ols",1,NA,0.094,4
40,"hetero","null",18,"modt",1,NA,0.09,3
40,"hetero","null",18,"hc3",1,NA,0.044,2
40,"hetero","null",18,"modhc3",1,NA,0.048,2
40,"hetero","null",19,"ols",1,NA,0.096,1
40,"hetero","null",19,"modt",1,NA,0.096,1
40,"hetero","null",19,"hc3",1,NA,0.066,1
40,"hetero","null",19,"modhc3",1,NA,0.062,1
40,"hetero","null",20,"ols",1,NA,0.128,1
40,"hetero","null",20,"modt",1,NA,0.12,1
40,"hetero","null",20,"hc3",1,NA,0.05,1
40,"hetero","null",20,"modhc3",1,NA,0.048,1
100,"hetero","null",1,"ols",0,NA,0.086,0
100,"hetero","null",1,"modt",0,NA,0.09,0
100,"hetero","null",1,"hc3",0,NA,0.048,0
100,"hetero","null",1,"modhc3",0,NA,0.05,0
100,"hetero","null",2,"ols",0,NA,0.084,0
100,"hetero","null",2,"modt",0,NA,0.084,0
100,"hetero","null",2,"hc3",0,NA,0.036,0
100,"hetero","null",2,"modhc3",0,NA,0.036,0
100,"hetero","null",3,"ols",1,NA,0.116,3
100,"hetero","null",3,"modt",1,NA,0.116,3
100,"hetero","null",3,"hc3",0,NA,0.06,0
100,"hetero","null",3,"modhc3",0,NA,0.058,0
100,"hetero","null",4,"ols",0,NA,0.098,0
100,"hetero","null",4,"modt",0,NA,0.098,0
100,"hetero","null",4,"hc3",0,NA,0.052,0
100,"hetero","null",4,"modhc3",0,NA,0.052,0
100,"hetero","null",5,"ols",0,NA,0.084,0
100,"hetero","null",5,"modt",0,NA,0.082,0
100,"hetero","null",5,"hc3",0,NA,0.044,0
100,"hetero","null",5,"modhc3",0,NA,0.044,0
100,"hetero","null",6,"ols",1,NA,0.162,10
100,"hetero","null",6,"modt",1,NA,0.16,10
100,"hetero","null",6,"hc3",0,NA,0.074,0
100,"hetero","null",6,"modhc3",0,NA,0.072,0
100,"hetero","null",7,"ols",1,NA,0.072,1
100,"hetero","null",7,"modt",1,NA,0.066,1
100,"hetero","null",7,"hc3",0,NA,0.042,0
100,"hetero","null",7,"modhc3",0,NA,0.042,0
100,"hetero","null",8,"ols",1,NA,0.108,1
100,"hetero","null",8,"modt",1,NA,0.106,1
100,"hetero","null",8,"hc3",0,NA,0.05,0
100,"hetero","null",8,"modhc3",0,NA,0.05,0
100,"hetero","null",9,"ols",1,NA,0.106,1
100,"hetero","null",9,"modt",1,NA,0.108,1
100,"hetero","null",9,"hc3",0,NA,0.06,0
100,"hetero","null",9,"modhc3",0,NA,0.064,0
100,"hetero","null",10,"ols",1,NA,0.108,4
100,"hetero","null",10,"modt",1,NA,0.108,4
100,"hetero","null",10,"hc3",0,NA,0.052,0
100,"hetero","null",10,"modhc3",0,NA,0.054,0
100,"hetero","null",11,"ols",0,NA,0.118,0
100,"hetero","null",11,"modt",0,NA,0.12,0
100,"hetero","null",11,"hc3",0,NA,0.06,0
100,"hetero","null",11,"modhc3",0,NA,0.058,0
100,"hetero","null",12,"ols",0,NA,0.094,0
100,"hetero","null",12,"modt",0,NA,0.098,0
100,"hetero","null",12,"hc3",0,NA,0.034,0
100,"hetero","null",12,"modhc3",0,NA,0.034,0
100,"hetero","null",13,"ols",1,NA,0.132,9
100,"hetero","null",13,"modt",1,NA,0.13,9
100,"hetero","null",13,"hc3",0,NA,0.056,0
100,"hetero","null",13,"modhc3",0,NA,0.058,0
100,"hetero","null",14,"ols",1,NA,0.124,1
100,"hetero","null",14,"modt",1,NA,0.124,1
100,"hetero","null",14,"hc3",0,NA,0.056,0
100,"hetero","null",14,"modhc3",0,NA,0.056,0
100,"hetero","null",15,"ols",1,NA,0.084,7
100,"hetero","null",15,"modt",1,NA,0.084,7
100,"hetero","null",15,"hc3",0,NA,0.054,0
100,"hetero","null",15,"modhc3",0,NA,0.054,0
100,"hetero","null",16,"ols",1,NA,0.092,3
100,"hetero","null",16,"modt",1,NA,0.092,3
100,"hetero","null",16,"hc3",0,NA,0.056,0
100,"hetero","null",16,"modhc3",0,NA,0.056,0
100,"hetero","null",17,"ols",1,NA,0.092,3
100,"hetero","null",17,"modt",1,NA,0.096,3
100,"hetero","null",17,"hc3",0,NA,0.034,0
100,"hetero","null",17,"modhc3",0,NA,0.036,0
100,"hetero","null",18,"ols",1,NA,0.088,2
100,"hetero","null",18,"modt",1,NA,0.088,2
100,"hetero","null",18,"hc3",0,NA,0.046,0
100,"hetero","null",18,"modhc3",0,NA,0.046,0
100,"hetero","null",19,"ols",0,NA,0.09,0
100,"hetero","null",19,"modt",0,NA,0.094,0
100,"hetero","null",19,"hc3",0,NA,0.044,0
100,"hetero","null",19,"modhc3",0,NA,0.042,0
100,"hetero","null",20,"ols",1,NA,0.112,4
100,"hetero","null",20,"modt",1,NA,0.112,4
100,"hetero","null",20,"hc3",0,NA,0.064,0
100,"hetero","null",20,"modhc3",0,NA,0.068,0
10,"gauss","alt",1,"ols",0,0,0.0355555555555556,0
10,"gauss","alt",1,"modt",0,0,0.0444444444444444,0
10,"gauss","alt",1,"hc3",0,0,0.0311111111111111,0
10,"gauss","alt",1,"modhc3",0,0,0.04,0
10,"gauss","alt",2,"ols",0,0,0.0422222222222222,0
10,"gauss","alt",2,"modt",0,0,0.0333333333333333,0
10,"gauss","alt",2,"hc3",0,0,0.0466666666666667,0
10,"gauss","alt",2,"modhc3",1,0,0.0377777777777778,1
10,"gauss","alt",3,"ols",0,0,0.0488888888888889,0
10,"gauss","alt",3,"modt",0,0,0.0577777777777778,0
10,"gauss","alt",3,"hc3",0,0,0.0355555555555556,0
