"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
50,1,"poisson",2,"abund_lm_depth",278,14,0,0.0294117647058824,0.0565217391304348,0.0714285714285714,0.444444444444444,0.3125
100,1,"poisson",2,"naive",298,0,0,0.205128205128205,0.0425531914893617,0.619047619047619,0.166666666666667,0.722222222222222
100,1,"poisson",2,"depthcov",298,0,0,0.102564102564103,0.0340425531914894,0.571428571428571,0.125,0.722222222222222
100,1,"poisson",2,"jzi_prev",298,0,0,0.179487179487179,0.0382978723404255,0.285714285714286,0.0416666666666667,0.444444444444444
100,1,"poisson",2,"jzi_abund",298,0,0.1,0.428571428571429,0.0808510638297872,0.0952380952380952,0.666666666666667,0.444444444444444
100,1,"poisson",2,"zinb",291,7,0,0,0.0174672489082969,0.05,0,0.222222222222222
100,1,"poisson",2,"abund_lm_depth",288,10,0,0.380952380952381,0.0575221238938053,0.1,0.666666666666667,0.555555555555556
20,4,"poisson",2,"naive",269,0,0,0,0.0511627906976744,0.0454545454545455,0,0.214285714285714
20,4,"poisson",2,"depthcov",269,0,0,0,0.013953488372093,0,0,0
20,4,"poisson",2,"jzi_prev",269,0,0,0,0.0418604651162791,0,0,0.0714285714285714
20,4,"poisson",2,"jzi_abund",269,0,0.714285714285714,0.0625,0.111627906976744,0.136363636363636,0.222222222222222,0.142857142857143
20,4,"poisson",2,"zinb",0,269,0,NA,NA,NA,NA,NA
20,4,"poisson",2,"abund_lm_depth",214,55,0,0,0.0457142857142857,0.428571428571429,0.153846153846154,0
50,4,"poisson",2,"naive",296,0,0.5,0.0645161290322581,0.111553784860558,0.3125,0.214285714285714,0.333333333333333
50,4,"poisson",2,"depthcov",296,0,0,0,0.0278884462151394,0.1875,0,0.133333333333333
50,4,"poisson",2,"jzi_prev",296,0,0,0.032258064516129,0.0398406374501992,0.25,0,0.266666666666667
50,4,"poisson",2,"jzi_abund",296,0,0.307692307692308,0.310344827586207,0.0876494023904383,0.1875,0.571428571428571,0.4
50,4,"poisson",2,"zinb",287,9,0,0,0.0122448979591837,0.1875,0,0.153846153846154
50,4,"poisson",2,"abund_lm_depth",281,15,0,0,0.0627615062761506,0.142857142857143,0.214285714285714,0.142857142857143
100,4,"poisson",2,"naive",298,0,0.533333333333333,0.428571428571429,0.275423728813559,0.645161290322581,0.307692307692308,0.555555555555556
100,4,"poisson",2,"depthcov",298,0,0,0,0.038135593220339,0.451612903225806,0.153846153846154,0.333333333333333
100,4,"poisson",2,"jzi_prev",298,0,0.0625,0.306122448979592,0.0593220338983051,0.516129032258065,0.153846153846154,0.444444444444444
100,4,"poisson",2,"jzi_abund",298,0,0.2,0.258064516129032,0.0720338983050847,0.032258064516129,0.769230769230769,0.5
100,4,"poisson",2,"zinb",290,8,0,0.102040816326531,0.0394736842105263,0.354838709677419,0.0769230769230769,0.333333333333333
100,4,"poisson",2,"abund_lm_depth",296,2,0,0,0.0299145299145299,0,0.153846153846154,0.166666666666667
20,1,"nb",2,"naive",254,0,0,0,0.00471698113207547,0.0625,0.0714285714285714,0
20,1,"nb",2,"depthcov",254,0,0,0,0.00943396226415094,0.0625,0,0
20,1,"nb",2,"jzi_prev",254,0,0,0,0.0330188679245283,0.0625,0.0714285714285714,0
20,1,"nb",2,"jzi_abund",254,0,0.5,0.0384615384615385,0.108490566037736,0.0625,0.142857142857143,0.25
20,1,"nb",2,"zinb",0,254,0,NA,NA,NA,NA,NA
20,1,"nb",2,"abund_lm_depth",182,72,0,0,0.0261437908496732,0.0909090909090909,0,0.285714285714286
50,1,"nb",2,"naive",293,0,0.333333333333333,0.0465116279069767,0.0391304347826087,0.354838709677419,0.25,0.333333333333333
50,1,"nb",2,"depthcov",293,0,0,0,0.0391304347826087,0.354838709677419,0.25,0.333333333333333
50,1,"nb",2,"jzi_prev",293,0,0,0,0.0217391304347826,0.193548387096774,0,0.333333333333333
50,1,"nb",2,"jzi_abund",293,0,0.666666666666667,0.0625,0.091304347826087,0.0645161290322581,0.25,0.25
50,1,"nb",2,"zinb",286,7,0,0,0,0.166666666666667,0,0.0909090909090909
50,1,"nb",2,"abund_lm_depth",272,21,0,0,0.0654205607476635,0.0344827586206897,0.263157894736842,0.2
100,1,"nb",2,"naive",299,0,0,0,0.0655737704918033,0.37037037037037,0.2,0.5
100,1,"nb",2,"depthcov",299,0,0,0.0285714285714286,0.0614754098360656,0.37037037037037,0.1,0.375
100,1,"nb",2,"jzi_prev",299,0,0,0.0857142857142857,0.0245901639344262,0.222222222222222,0,0.25
100,1,"nb",2,"jzi_abund",299,0,0.666666666666667,0.0357142857142857,0.0655737704918033,0.0740740740740741,0.4,0.25
100,1,"nb",2,"zinb",295,4,0,0,0.00833333333333333,0.111111111111111,0,0.125
100,1,"nb",2,"abund_lm_depth",294,5,0,0,0.025,0.0384615384615385,0.3,0.125
20,4,"nb",2,"naive",263,0,0,0,0.0430622009569378,0.368421052631579,0,0.105263157894737
20,4,"nb",2,"depthcov",263,0,0,0,0.0287081339712919,0.263157894736842,0,0
20,4,"nb",2,"jzi_prev",263,0,0,0,0.0191387559808612,0.210526315789474,0,0
20,4,"nb",2,"jzi_abund",263,0,0.5,0.114285714285714,0.105263157894737,0.157894736842105,0.4375,0.368421052631579
20,4,"nb",2,"zinb",0,263,0,NA,NA,NA,NA,NA
20,4,"nb",2,"abund_lm_depth",218,45,0,0.0344827586206897,0.023121387283237,0,0.2,0.142857142857143
50,4,"nb",2,"naive",295,0,0,0.0227272727272727,0.137339055793991,0.52,0.0555555555555556,0.421052631578947
50,4,"nb",2,"depthcov",295,0,0,0,0.055793991416309,0.12,0,0.157894736842105
50,4,"nb",2,"jzi_prev",295,0,0,0,0.0429184549356223,0.36,0,0.368421052631579
50,4,"nb",2,"jzi_abund",295,0,0.454545454545455,0.162162162162162,0.103004291845494,0.28,0.444444444444444,0.368421052631579
50,4,"nb",2,"zinb",292,3,0,0,0.0216450216450216,0.25,0,0.210526315789474
50,4,"nb",2,"abund_lm_depth",287,8,0,0,0.0614035087719298,0,0.0625,0.105263157894737
100,4,"nb",2,"naive",300,0,0.568965517241379,0.510204081632653,0.310924369747899,0.8,0.153846153846154,0.551724137931034
100,4,"nb",2,"depthcov",300,0,0,0,0.0672268907563025,0.35,0.0769230769230769,0.172413793103448
100,4,"nb",2,"jzi_prev",300,0,0,0.102040816326531,0.046218487394958,0.4,0.0769230769230769,0.310344827586207
100,4,"nb",2,"jzi_abund",300,0,0.25,0.285714285714286,0.0840336134453782,0.1,0.692307692307692,0.586206896551724
100,4,"nb",2,"zinb",293,7,0,0.0416666666666667,0.0214592274678112,0.3,0,0.285714285714286
