"simulator","regime_id","method","arm","fdr_05","tpr_05","fdr_10","tpr_10","pauc10","fpr05","ks_null","shadow","est_bias","est_rmse","ci_cover","runtime_s","n_pos","n_tested","n_rej_05","tp_05","fp_05","fdr_05_se","tpr_05_se","fdr_10_se","tpr_10_se","pauc10_se","fpr05_se","ks_null_se","shadow_se","est_bias_se","est_rmse_se","ci_cover_se","runtime_s_se","n_pos_se","n_tested_se","n_rej_05_se","tp_05_se","fp_05_se","n_cells"
"implant","B_large","wilcoxon_tss","single",0.0429160591609133,0.301023327699237,0.0795350830906068,0.362602231682365,0.579164379877851,0.0558651880431922,0.0841692511104242,NA,-0.0849317963304385,1.75838065814422,NA,0.26693,46.35,474.04,15.35,14.53,0.82,0.0112906277774451,0.0137819906153957,0.0147305745726269,0.0147783044517901,0.0109374147221428,0.00434189670089425,0.00568719465377037,NA,0.0435610677441485,0.04809887544317,NA,0.0233031200711515,4.45179285186986,44.6276761526732,1.50771584547854,1.45563724807378,0.216202299579432,100
"implant","B_large","zicoseq","single",0.0591714593153027,0.260319846496985,0.123066407405358,0.32084955327857,0.559144778343082,0.0589400788186537,0.0776160763631747,NA,NA,NA,NA,118.77029,46.35,474.04,13.6,12.71,0.89,0.014955387909148,0.0139036760221074,0.0184057804301576,0.0150184008814865,0.0130068716080483,0.00450495684347854,0.00553306622943908,NA,NA,NA,NA,11.0491242113041,4.45179285186986,44.6276761526732,1.33113455064437,1.26923941274634,0.171679169888887,100
"implant","B_n100","adapt","single",0.0434049999015403,0.27782498939764,0.0655618239658473,0.323332765432845,0.536271178505397,0.0439176623439521,0.0833560473734917,NA,0.0582306460971134,0.933610411342499,NA,0.426625000000007,27.525,274.1125,8.9,8.4,0.5,0.00940925313631262,0.015021551921944,0.0112971827190138,0.0161903778690537,0.014585484743216,0.00269942715754821,0.00497512401589229,NA,0.0223455584959001,0.0296310738665612,NA,0.0282208142897622,2.59411304078184,25.7906431967713,0.962690060143312,0.906830619328603,0.0941316073041934,80
"implant","B_n100","aldex2","single",0,0.114888530503934,0,0.135642923192275,0.41516761191543,0.00540285640458862,0.279832214195558,NA,-0.0058256375673823,0.60272546551425,NA,19.29215,27.525,274.1125,3.225,3.225,0,0,0.00896598558320912,0,0.00945061275828106,0.0152989572799443,0.000966693596525019,0.00473919845575558,NA,0.00267822278881921,0.0128760352662159,NA,1.72735229031074,2.59411304078184,25.7906431967713,0.353094368280482,0.353094368280482,0,80
"implant","B_n100","ancombc2","single",0,0.0714528763755086,0,0.0714528763755086,0.126966102790801,0.462353177959998,0.446561548177909,NA,-0.00916591813244264,0.571831809928101,0.517818923699053,78.2317375,27.525,274.1125,2.3875,2.3875,0,0,0.00708810519874574,0,0.00708810519874574,0.00895106291336844,0.00599008969687979,0.00608060429233734,NA,0.0135213184741971,0.00853150394149534,0.00526710493558148,8.67909748668968,2.59411304078184,25.7906431967713,0.319955371690206,0.319955371690206,0,80
"implant","B_n100","corncob","single",0.526388950772816,0.190317873746057,0.578852335750939,0.24969648421798,0.242407546725877,0.134782023602949,0.13518217855615,NA,NA,NA,NA,21.72545,27.525,274.1125,10.3,4.9875,5.3125,0.0312753817309345,0.0125568315602143,0.0261076334854615,0.0140801642664088,0.0135107759737924,0.00675119368671914,0.00896562559967777,NA,NA,NA,NA,2.03300920022419,2.59411304078184,25.7906431967713,0.75313689982195,0.515117582128315,0.531773290301874,80
"implant","B_n100","fastancom","single",0.00078125,0.156351011143724,0.00791266937396969,0.181207766959532,0.444761197888298,0.0228680168234489,0.14812030638956,NA,-0.0213187985804224,0.34227902982874,NA,0.0361375000000017,27.525,274.1125,5.125,5.1125,0.0125,0.00078125,0.0114273833835394,0.00339374849234834,0.0133911111744156,0.0144562311918837,0.0027714485367896,0.00900035608119355,NA,0.0143886328988122,0.00714328779939248,NA,0.001653127430246,2.59411304078184,25.7906431967713,0.637780715063045,0.635199995914772,0.0125,80
"implant","B_n100","ldm","single",0.0496973284311671,0.211555907901028,0.103426546319267,0.27221713651921,0.480031306664328,0.0535806196701637,0.0855475018097639,NA,NA,NA,NA,38.1994625,27.525,274.1125,7.2875,6.75,0.5375,0.0131020563455247,0.0141504772604723,0.0211956121489523,0.015725440067477,0.015868679930258,0.00399569154821087,0.00521706463038543,NA,NA,NA,NA,4.54191352918875,2.59411304078184,25.7906431967713,0.864963917810404,0.811604911053136,0.131860769974348,80
"implant","B_n100","limma_logtss","single",0.0266915646992037,0.220345439433882,0.0688474129770485,0.262689363564053,0.460802942704243,0.0478750557784827,0.112287424779396,NA,0.00273238541566083,0.339093632058909,0.90847389821721,0.0379,27.525,274.1125,6.9125,6.575,0.3375,0.0077236903405222,0.0139129074525114,0.0132481369784059,0.0147490790106641,0.0151464962801433,0.00402150532857188,0.006574590263919,NA,0.0134146352884436,0.00676473635264901,0.00416592027539512,0.000691860452747487,2.59411304078184,25.7906431967713,0.811545203355061,0.743063918745737,0.116575273123409,80
"implant","B_n100","linda","single",0.0332670154890007,0.284559171955662,0.0776696229333933,0.332717063991507,0.516659566572168,0.0517895577745398,0.079027105445037,NA,0.00357143683821133,0.317079015758788,0.899224370067939,0.1928375,27.525,274.1125,8.65,8.2625,0.3875,0.00772026274037011,0.0143752157227452,0.0128576245238095,0.0159172336602325,0.0135460898550396,0.00278692989393559,0.00399016893803496,NA,0.00592497621123241,0.00640761379906454,0.00336328281345016,0.0166125471468314,2.59411304078184,25.7906431967713,0.913003805779082,0.869989042197834,0.0915647208332217,80
"implant","B_n100","lm_logtss","single",0.038487124328443,0.227555214554205,0.0772834439863811,0.264843350190355,0.458929902226631,0.0496245146671921,0.112638722750193,NA,0.00273238541566083,0.339093632058909,0.906573797609244,0.036475,27.525,274.1125,7.1125,6.6875,0.425,0.00874783323038631,0.013716348676404,0.0137235022326792,0.0154377263417399,0.0149777582317079,0.00420190690209653,0.00660121813604565,NA,0.0134146352884436,0.00676473635264901,0.00430213100636323,0.000587036916873335,2.59411304078184,25.7906431967713,0.789165909222187,0.728400743001449,0.0986859871037066,80
