"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
100,4,"poisson",1,"naive",299,0,0.509433962264151,0.565217391304348,0.273913043478261,0.769230769230769,0.260869565217391,0.6
100,4,"poisson",1,"depthcov",299,0,0,0,0.0608695652173913,0.153846153846154,0.130434782608696,0.15
100,4,"poisson",1,"er_lm",299,0,0.28,0.391304347826087,0.0434782608695652,0.576923076923077,0.478260869565217,0.55
100,4,"poisson",1,"abund_ztnb_t",299,0,0.241379310344828,0.511627906976744,0.126086956521739,0.0769230769230769,0.739130434782609,0.5
100,4,"poisson",1,"abund_ztnb",299,0,0.1,0.418604651162791,0.11304347826087,0.115384615384615,0.652173913043478,0.45
100,4,"poisson",1,"abund_lm_depth",299,0,0,0.0697674418604651,0.0478260869565217,0.0384615384615385,0.434782608695652,0.2
100,4,"poisson",1,"abund_lm",299,0,0.604938271604938,0.744186046511628,0.343478260869565,0.346153846153846,0.91304347826087,0.75
100,4,"poisson",1,"occ_depth",299,0,0.173913043478261,0.41304347826087,0.0652173913043478,0.730769230769231,0.260869565217391,0.65
100,4,"poisson",1,"occ_full",299,0,0.324324324324324,0.543478260869565,0.143478260869565,0.769230769230769,0.217391304347826,0.65
100,4,"poisson",1,"occ_lmd",299,0,0.365853658536585,0.565217391304348,0.156521739130435,0.769230769230769,0.217391304347826,0.65
100,4,"poisson",1,"occ_lmd_lN",299,0,0,0,0.0782608695652174,0.192307692307692,0.0869565217391304,0.15
100,4,"poisson",1,"occ_ztnb",299,0,0.2,0.347826086956522,0.104347826086957,0.653846153846154,0.217391304347826,0.5
100,4,"poisson",1,"occ_ztnb_lN",299,0,0,0,0.0869565217391304,0.230769230769231,0.0434782608695652,0.1
100,4,"poisson",1,"zip",299,0,0.363636363636364,0.456521739130435,0.130434782608696,0.653846153846154,0.217391304347826,0.55
100,4,"poisson",1,"zinb",293,6,0,0.152173913043478,0.0267857142857143,0.461538461538462,0.173913043478261,0.35
20,1,"nb",1,"naive",246,0,0,0,0.0152284263959391,0.0526315789473684,0.111111111111111,0.166666666666667
20,1,"nb",1,"depthcov",246,0,0,0,0.0152284263959391,0.0526315789473684,0.111111111111111,0.166666666666667
20,1,"nb",1,"er_lm",246,0,0,0,0.0558375634517767,0.157894736842105,0.277777777777778,0.333333333333333
20,1,"nb",1,"abund_ztnb_t",184,62,0,0,0.0408163265306122,0,0.25,0.181818181818182
