"n","c_depth","disp","rep","method","n_taxa","n_fail","fdr","tpr","rej_null","rej_prev_only","rej_abund_only","rej_both"
50,2,"poisson",7,"abund_lm_depth",277,15,0,0,0.0648148148148148,0,0.346153846153846,0.294117647058824
50,2,"poisson",7,"zip",286,6,0,0,0.0444444444444444,0.277777777777778,0.0384615384615385,0.294117647058824
50,2,"poisson",7,"lm_pseudo_mc",292,0,0.333333333333333,0.0909090909090909,0.0695652173913043,0.444444444444444,0.296296296296296,0.411764705882353
100,2,"poisson",7,"naive",299,0,0.238095238095238,0.363636363636364,0.0912863070539419,0.521739130434783,0.357142857142857,0.523809523809524
100,2,"poisson",7,"depthcov",299,0,0,0.0227272727272727,0.033195020746888,0.347826086956522,0.0714285714285714,0.476190476190476
100,2,"poisson",7,"er_lm",299,0,0.111111111111111,0.363636363636364,0.020746887966805,0.434782608695652,0.214285714285714,0.666666666666667
100,2,"poisson",7,"abund_lm",296,3,0.357142857142857,0.264705882352941,0.200836820083682,0.130434782608696,0.5,0.5
100,2,"poisson",7,"occ_depth",299,0,0.05,0.431818181818182,0.045643153526971,0.521739130434783,0.142857142857143,0.714285714285714
100,2,"poisson",7,"occ_full",299,0,0.217391304347826,0.409090909090909,0.0829875518672199,0.608695652173913,0.214285714285714,0.666666666666667
100,2,"poisson",7,"occ_cal",299,0,0.111111111111111,0.181818181818182,0.0746887966804979,0.391304347826087,0.142857142857143,0.571428571428571
100,2,"poisson",7,"abund_trunc",296,3,0.2,0.235294117647059,0.129707112970711,0.130434782608696,0.571428571428571,0.5
100,2,"poisson",7,"occ_trunc",299,0,0.2,0.363636363636364,0.0829875518672199,0.521739130434783,0.142857142857143,0.666666666666667
100,2,"poisson",7,"abund_ztnb",296,3,0.357142857142857,0.264705882352941,0.138075313807531,0.0434782608695652,0.642857142857143,0.4
100,2,"poisson",7,"occ_ztnb",296,3,0.25,0.27906976744186,0.0836820083682008,0.434782608695652,0.214285714285714,0.55
100,2,"poisson",7,"lm_pseudo",299,0,0.768518518518518,0.714285714285714,0.398340248962656,0.652173913043478,0.357142857142857,0.952380952380952
100,2,"poisson",7,"lm_pseudo_depth",299,0,0,0.171428571428571,0.033195020746888,0.434782608695652,0.142857142857143,0.523809523809524
100,2,"poisson",7,"abund_lm_depth",295,4,0.3,0.212121212121212,0.0669456066945607,0,0.5,0.263157894736842
100,2,"poisson",7,"zip",298,1,0.111111111111111,0.372093023255814,0.0663900414937759,0.478260869565217,0.142857142857143,0.55
100,2,"poisson",7,"lm_pseudo_mc",299,0,0.466666666666667,0.457142857142857,0.0912863070539419,0.652173913043478,0.357142857142857,0.80952380952381
20,4,"poisson",7,"naive",275,0,0,0,0.0666666666666667,0.176470588235294,0.25,0.153846153846154
20,4,"poisson",7,"depthcov",275,0,0,0,0.00444444444444444,0,0,0.0769230769230769
20,4,"poisson",7,"er_lm",275,0,0,0,0.0711111111111111,0.235294117647059,0.3,0.384615384615385
20,4,"poisson",7,"abund_lm",230,45,1,0,0.126315789473684,0,0.3125,0.25
20,4,"poisson",7,"occ_depth",275,0,0,0.0333333333333333,0.0933333333333333,0.294117647058824,0.25,0.384615384615385
20,4,"poisson",7,"occ_full",275,0,0,0.0333333333333333,0.128888888888889,0.294117647058824,0.2,0.461538461538462
20,4,"poisson",7,"occ_cal",275,0,0,0.0333333333333333,0.0755555555555556,0.176470588235294,0,0.153846153846154
20,4,"poisson",7,"abund_trunc",230,45,0.5,0.178571428571429,0.157894736842105,0,0.375,0.25
20,4,"poisson",7,"occ_trunc",275,0,0,0.0333333333333333,0.111111111111111,0.235294117647059,0.2,0.307692307692308
20,4,"poisson",7,"abund_ztnb",230,45,0.666666666666667,0.0357142857142857,0.105263157894737,0,0.3125,0.166666666666667
20,4,"poisson",7,"occ_ztnb",230,45,0,0,0.068421052631579,0.25,0.125,0.333333333333333
20,4,"poisson",7,"lm_pseudo",275,0,0.803921568627451,0.303030303030303,0.306666666666667,0.411764705882353,0.45,0.538461538461538
20,4,"poisson",7,"lm_pseudo_depth",275,0,0,0,0.0488888888888889,0.117647058823529,0.1,0.230769230769231
20,4,"poisson",7,"abund_lm_depth",230,45,0,0,0.0473684210526316,0,0.125,0.0833333333333333
20,4,"poisson",7,"zip",264,11,0,0,0.0277777777777778,0,0.2,0
20,4,"poisson",7,"lm_pseudo_mc",275,0,0.538461538461538,0.181818181818182,0.0977777777777778,0.470588235294118,0.45,0.307692307692308
50,4,"poisson",7,"naive",294,0,0,0,0.167381974248927,0.333333333333333,0.181818181818182,0.133333333333333
50,4,"poisson",7,"depthcov",294,0,0,0,0.0472103004291846,0.208333333333333,0,0.133333333333333
50,4,"poisson",7,"er_lm",294,0,0.5,0.0512820512820513,0.0686695278969957,0.333333333333333,0.363636363636364,0.333333333333333
50,4,"poisson",7,"abund_lm",281,13,0.333333333333333,0.388888888888889,0.183035714285714,0.0952380952380952,0.666666666666667,0.6
50,4,"poisson",7,"occ_depth",294,0,0,0.0256410256410256,0.0600858369098712,0.25,0.0454545454545455,0.266666666666667
50,4,"poisson",7,"occ_full",294,0,0.5,0.0512820512820513,0.0987124463519313,0.333333333333333,0.136363636363636,0.266666666666667
50,4,"poisson",7,"occ_cal",294,0,0,0,0.0772532188841202,0.291666666666667,0.0454545454545455,0.4
50,4,"poisson",7,"abund_trunc",281,13,0.285714285714286,0.416666666666667,0.147321428571429,0.0952380952380952,0.666666666666667,0.533333333333333
50,4,"poisson",7,"occ_trunc",294,0,0,0.0512820512820513,0.0987124463519313,0.333333333333333,0.0909090909090909,0.266666666666667
50,4,"poisson",7,"abund_ztnb",281,13,0.0625,0.416666666666667,0.0803571428571429,0,0.619047619047619,0.666666666666667
50,4,"poisson",7,"occ_ztnb",281,13,0.333333333333333,0.0555555555555556,0.0714285714285714,0.285714285714286,0.0476190476190476,0.333333333333333
50,4,"poisson",7,"lm_pseudo",294,0,0.819548872180451,0.648648648648649,0.484978540772532,0.5,0.681818181818182,0.8
50,4,"poisson",7,"lm_pseudo_depth",294,0,0.8,0.027027027027027,0.0686695278969957,0.125,0.136363636363636,0.266666666666667
50,4,"poisson",7,"abund_lm_depth",281,13,0,0.0277777777777778,0.0491071428571429,0.0476190476190476,0.285714285714286,0.333333333333333
50,4,"poisson",7,"zip",291,3,0,0,0.0732758620689655,0.227272727272727,0.0909090909090909,0.2
50,4,"poisson",7,"lm_pseudo_mc",294,0,0.684210526315789,0.162162162162162,0.171673819742489,0.5,0.318181818181818,0.333333333333333
100,4,"poisson",7,"naive",299,0,0.413793103448276,0.447368421052632,0.218487394957983,0.647058823529412,0.173913043478261,0.571428571428571
100,4,"poisson",7,"depthcov",299,0,0,0,0.0630252100840336,0.352941176470588,0,0.428571428571429
100,4,"poisson",7,"er_lm",299,0,0.19047619047619,0.447368421052632,0.0588235294117647,0.529411764705882,0.217391304347826,0.761904761904762
100,4,"poisson",7,"abund_lm",298,1,0.584905660377358,0.5,0.236286919831224,0.0588235294117647,0.739130434782609,0.571428571428571
100,4,"poisson",7,"occ_depth",299,0,0.19047619047619,0.447368421052632,0.0714285714285714,0.705882352941177,0.0434782608695652,0.761904761904762
100,4,"poisson",7,"occ_full",299,0,0.424242424242424,0.5,0.130252100840336,0.705882352941177,0.130434782608696,0.571428571428571
100,4,"poisson",7,"occ_cal",299,0,0.346153846153846,0.447368421052632,0.121848739495798,0.647058823529412,0.0869565217391304,0.619047619047619
100,4,"poisson",7,"abund_trunc",298,1,0.447368421052632,0.477272727272727,0.168776371308017,0.0588235294117647,0.739130434782609,0.619047619047619
100,4,"poisson",7,"occ_trunc",299,0,0.387096774193548,0.5,0.109243697478992,0.764705882352941,0.0869565217391304,0.571428571428571
100,4,"poisson",7,"abund_ztnb",298,1,0.25,0.272727272727273,0.126582278481013,0.0588235294117647,0.826086956521739,0.428571428571429
100,4,"poisson",7,"occ_ztnb",298,1,0.4,0.394736842105263,0.0717299578059072,0.705882352941177,0.0869565217391304,0.571428571428571
100,4,"poisson",7,"lm_pseudo",299,0,0.798816568047337,0.772727272727273,0.554621848739496,0.882352941176471,0.739130434782609,0.952380952380952
100,4,"poisson",7,"lm_pseudo_depth",299,0,0.333333333333333,0.0454545454545455,0.0714285714285714,0.352941176470588,0.0869565217391304,0.523809523809524
100,4,"poisson",7,"abund_lm_depth",298,1,0,0.0454545454545455,0.0421940928270042,0,0.260869565217391,0.142857142857143
100,4,"poisson",7,"zip",298,1,0.222222222222222,0.368421052631579,0.118143459915612,0.588235294117647,0.0869565217391304,0.571428571428571
100,4,"poisson",7,"lm_pseudo_mc",299,0,0.6,0.454545454545455,0.214285714285714,0.647058823529412,0.391304347826087,0.857142857142857
20,1,"nb",7,"naive",247,0,0,0,0.0443349753694581,0.0714285714285714,0.0666666666666667,0.0666666666666667
20,1,"nb",7,"depthcov",247,0,0,0,0.0295566502463054,0.0714285714285714,0.0666666666666667,0.133333333333333
20,1,"nb",7,"er_lm",247,0,0,0.0344827586206897,0.0541871921182266,0.0714285714285714,0.133333333333333,0.0666666666666667
20,1,"nb",7,"abund_lm",186,61,0,0,0.032258064516129,0.1,0.1,0.0909090909090909
20,1,"nb",7,"occ_depth",247,0,0,0,0.103448275862069,0.142857142857143,0.133333333333333,0.2
20,1,"nb",7,"occ_full",247,0,0,0,0.083743842364532,0.142857142857143,0.133333333333333,0.133333333333333
