"pi1","balance","comm","bloom","effect","rep","method","n_eval","shift","bias_null","rmse_all","type1","power","fdr","tpr","ci_cov","ref_purity"
0.4,"all_up","dominant",FALSE,"fixed",1,"oracle",300,0.66055568926937,0.0637578747841943,0.207635646387411,0.0666666666666667,1,0.0403225806451613,0.991666666666667,0.936666666666667,NA
0.05,"balanced","even",TRUE,"fixed",1,"none",300,0.111863025287817,-0.130775155255363,0.224551556885521,0.133802816901408,1,0.176470588235294,0.875,0.863333333333333,NA
0.05,"balanced","even",TRUE,"fixed",1,"clr",300,0.111863025287817,-0.0193220331376658,0.183148787561429,0.0387323943661972,1,0,0.875,0.963333333333333,NA
0.05,"balanced","even",TRUE,"fixed",1,"median",300,0.111863025287817,-0.0142346370176531,0.182663253391871,0.0387323943661972,1,0,0.875,0.963333333333333,NA
0.05,"balanced","even",TRUE,"fixed",1,"mode",300,0.111863025287817,-0.0478742372473839,0.188416546272171,0.0528169014084507,1,0.0666666666666667,0.875,0.95,NA
0.05,"balanced","even",TRUE,"fixed",1,"huber",300,0.111863025287817,-0.00360992655812764,0.18210399340818,0.0387323943661972,1,0,0.875,0.963333333333333,NA
0.05,"balanced","even",TRUE,"fixed",1,"enull",300,0.111863025287817,0.00277168698220148,0.182065543278133,0.0387323943661972,1,0,0.875,0.963333333333333,NA
0.05,"balanced","even",TRUE,"fixed",1,"dacomp",240,0.111863025287817,-0.00718746916901566,0.188694316023352,0.04,1,0,0.866666666666667,0.9625,0.983333333333333
0.05,"balanced","even",TRUE,"fixed",1,"adapt",150,0.111863025287817,-0.0627528402802158,0.252894655881558,0.0895522388059701,1,0.125,0.875,0.92,1
0.05,"balanced","even",TRUE,"fixed",1,"oracle",300,0.111863025287817,-0.018912129967546,0.183104479134251,0.0387323943661972,1,0,0.875,0.963333333333333,NA
0.2,"balanced","even",TRUE,"fixed",1,"none",300,-0.0823563058883741,0.0663857534191905,0.202756618832947,0.0376569037656904,0.967213114754098,0,0.934426229508197,0.95,NA
0.2,"balanced","even",TRUE,"fixed",1,"clr",300,-0.0823563058883741,-0.0322722934526494,0.196498752426755,0.0125523012552301,0.967213114754098,0.0178571428571429,0.901639344262295,0.966666666666667,NA
0.2,"balanced","even",TRUE,"fixed",1,"median",300,-0.0823563058883741,0.0103076292783201,0.193137986574647,0.0167364016736402,0.983606557377049,0.0175438596491228,0.918032786885246,0.966666666666667,NA
