"axis","simulator","template","regime_id","replicate","method","method_version","runtime_s","arm","truth_scale","n_tested","n_pos","fdr_05","tpr_05","n_rej_05","fdr_10","tpr_10","n_rej_10","pauc10","fpr05","fpr01","ks_null","shadow","est_bias","est_rmse","ci_cover"
"A","house","hmp_gingiva","R00",1,"zicoseq","1.9",31.798,"single","rel",226,173,0,0,0,0,0.0173410404624277,3,0.223579452502999,0,0,0.236037735849057,NA,NA,NA,NA
"A","house","hmp_gingiva","R00",1,"fastancom","0.0.4",0.0289999999999964,"single","abs",226,25,0,0.04,1,0,0.08,2,0.360199004975124,0.0298507462686567,0,0.0426248941135955,NA,-0.114815041712508,0.392790594161931,NA
"A","house","hmp_gingiva","R00",1,"fastancom","0.0.4",0.0289999999999964,"single","rel",226,173,0,0.00578034682080925,1,0,0.0115606936416185,2,0.165775984294907,0.0188679245283019,0,0.273076410118477,NA,-0.0598104593416372,1.07795797935118,NA
"A","house","hmp_gingiva","R00",1,"adapt","1.4.0",0.366000000000042,"single","abs",226,25,0,0.24,6,0.2,0.32,10,0.467661691542289,0.0597014925373134,0.00995024875621891,0.0648778408571386,NA,-0.103014692442041,0.910328997403733,NA
"A","house","hmp_gingiva","R00",1,"adapt","1.4.0",0.366000000000042,"single","rel",226,173,0,0.0346820809248555,6,0,0.0578034682080925,10,0.146144617733668,0.0377358490566038,0,0.214846420288316,NA,-0.0480101100711702,0.826607446391144,NA
"A","house","hmp_gingiva","R00",1,"fastemu","2.3.2.0",1530.362,"single","abs",226,25,0.5,0.04,2,0.5,0.04,2,0.284577114427861,0.0796019900497512,0.0199004975124378,0.130074131071076,NA,-0.0117484209814864,1.33595191122079,0.846153846153846
"A","house","hmp_gingiva","R00",1,"fastemu","2.3.2.0",1530.362,"single","rel",226,173,0,0.0115606936416185,2,0,0.0115606936416185,2,0.413349329261643,0,0,0.267972353088476,NA,0.0432561613893848,0.534405287696825,0.986425339366516
"A","house","hmp_gingiva","R00",2,"wilcoxon_tss","4.5.3",0.169,"single","abs",301,32,0,0.4375,14,0.0555555555555556,0.53125,18,0.652881040892193,0.0446096654275093,0.00371747211895911,0.0494311197030765,NA,0.0691280814215356,1.24815491699556,NA
"A","house","hmp_gingiva","R00",2,"wilcoxon_tss","4.5.3",0.169,"single","rel",301,242,0,0.0578512396694215,14,0.0555555555555556,0.0702479338842975,18,0.161787365177196,0.0169491525423729,0.0169491525423729,0.154749737622848,NA,0.0136934543767188,0.32814835897859,NA
"A","house","hmp_gingiva","R00",2,"lm_logtss","4.5.3",0.0560000000000009,"single","abs",301,32,0,0.1875,6,0,0.34375,11,0.614544609665428,0.0371747211895911,0.00371747211895911,0.055075148340096,NA,-0.0352641649262466,0.386832015488225,0.947368421052632
"A","house","hmp_gingiva","R00",2,"lm_logtss","4.5.3",0.0560000000000009,"single","rel",301,242,0,0.0247933884297521,6,0,0.0454545454545455,11,0.22061913433254,0.0169491525423729,0,0.240677723862911,NA,-0.0906987919710635,1.05325522394706,0.592982456140351
"A","house","hmp_gingiva","R00",2,"limma_logtss","3.66.0",0.0620000000000012,"single","abs",301,32,0,0.1875,6,0,0.34375,11,0.607574349442379,0.033457249070632,0,0.0539805981511833,NA,-0.0352641649262466,0.386832015488225,0.950877192982456
"A","house","hmp_gingiva","R00",2,"limma_logtss","3.66.0",0.0620000000000012,"single","rel",301,242,0,0.0247933884297521,6,0,0.0454545454545455,11,0.224121025353691,0.0169491525423729,0,0.245062718224577,NA,-0.0906987919710635,1.05325522394706,0.596491228070175
"A","house","hmp_gingiva","R00",2,"logistic_presence","4.5.3",0.431000000000001,"single","abs",299,32,0.0625,0.46875,16,0.0625,0.46875,16,0.589887640449438,0.0561797752808989,0.0112359550561798,0.0823969086300667,NA,0.0270017281329174,0.57036878567489,NA
"A","house","hmp_gingiva","R00",2,"logistic_presence","4.5.3",0.431000000000001,"single","rel",299,242,0.0625,0.0619834710743802,16,0.0625,0.0619834710743802,16,0.109467884587502,0.0526315789473684,0.0175438596491228,0.0891374078087071,NA,-0.0281470114724821,0.95163256230912,NA
"A","house","hmp_gingiva","R00",2,"pursue","0.2.0",14.199,"abundance","abs",301,16,0,0,0,0,0,0,0.146929824561403,0.0456140350877193,0.00701754385964912,0.0343471365424386,0,-0.0216730680639457,0.688576993408768,0.947368421052632
"A","house","hmp_gingiva","R00",2,"pursue","0.2.0",14.199,"abundance","rel",301,16,0,0,0,0,0,0,0.146929824561403,0.0456140350877193,0.00701754385964912,0.0343471365424386,0,-0.0771076951087625,0.993563474447348,0.866666666666667
"A","house","hmp_gingiva","R00",2,"pursue","0.2.0",14.199,"presence","abs",299,25,0,0.16,4,0,0.24,6,0.413138686131387,0.062043795620438,0.0109489051094891,0.0522403264852606,0.142857142857143,NA,NA,NA
